Date,AQS_conc,PA_raw_conc,Model4,ModelBj,SSC
2023-04-23,8.3125,7.425416666666667,7.441731124041204,5.5075691833333345,7.73526569537963
2023-05-01,8.483333333333334,5.3962916666666665,6.311617069368056,4.3241259833333325,6.628723337611111
2023-05-03,6.841666666666667,3.9497916666666666,6.054261800934723,4.008646183333333,6.181452553944444
2023-05-04,9.866666666666667,9.962,8.60684426788102,7.3122294,8.71311091623148
2023-05-05,10.645833333333334,11.042083333333334,9.000153008187965,7.671938066666668,9.20340425503704
2023-05-06,8.825,8.4335625,7.8867650997125,6.0525368,8.181681264625002
2023-05-09,7.441666666666666,6.1258125,6.867086069885648,4.756900750000001,7.180239946143519
2023-05-11,13.354166666666666,19.167395833333334,12.466252691051853,11.525498216666666,12.91433071602315
2023-05-12,11.704166666666667,15.049479166666666,10.76390063958889,9.390536383333334,11.171795791486112
2023-05-15,14.429166666666667,18.906,12.454856940528705,11.669676149999999,12.780817869129628
2023-05-16,13.025,15.240520833333333,10.849493420791667,9.643519416666667,11.191020476458334
2023-05-28,6.920833333333333,6.932083333333334,7.083997952280094,5.117261666666667,7.424638646157408
2023-05-30,12.895833333333334,19.024041666666665,12.386978886472225,11.647867133333332,12.744990962027778
2023-06-06,15.470833333333333,19.122708333333332,12.697842984548148,12.001410766666666,12.936180438435185
2023-06-30,17.145833333333332,30.877666666666666,17.77514778890324,18.02798333333333,18.169773505342594
2023-07-01,13.3875,22.2390625,14.148422631443056,13.479756550000001,14.486813738569445
2023-07-02,13.416666666666666,21.972604166666667,13.942044594179631,13.183907533333333,14.343075860828703
2023-07-04,9.0125,14.264041666666667,10.641508011624076,8.949622833333336,11.067293590842592
2022-01-27,10.470833333333333,6.8028125,6.173878050471298,6.69897445,5.734119667912038
2022-01-30,9.866666666666667,6.42825,6.332672227058797,6.61701725,5.855602417953704
2022-01-31,14.416666666666666,20.047375,11.857118371192131,13.2363848,11.704146411703702
2022-02-01,14.208333333333334,17.541958333333334,10.938231983493518,11.817092616666669,10.820512702064816
2022-02-05,9.809090909090909,7.941477272727273,5.714753817717172,5.737380363636364,5.929025916237374
2022-02-06,11.47391304347826,10.32645652173913,7.352774110163286,7.735406104347826,7.28505076484541
2022-02-07,16.421739130434784,15.857326086956522,9.791038706559902,10.513831304347828,9.824885677009663
2022-02-11,11.225,12.145791666666668,8.962743687324537,9.185997333333335,8.731460530296296
2022-02-14,11.977272727272727,11.168909090909091,8.110508535394445,8.752760145454545,7.81370148819192
2022-02-15,12.783333333333333,13.3925,9.407699469228243,9.98701995,9.11601257450926
2022-02-16,23.004166666666666,29.799854166666666,16.85097114303843,18.827992883333334,16.604802623449075
2022-02-28,11.208333333333334,12.797770833333333,8.950405292932407,9.303927616666666,8.808844814550925
2022-03-03,11.85,13.499583333333334,10.601187636893982,10.647799566666668,10.100795127768519
2022-03-04,9.220833333333333,8.722729166666667,7.911358231275464,7.314173533333333,7.708889497995371
2022-03-05,24.375,34.67760416666667,18.974225621567598,20.892372483333336,18.988159686032407
2022-03-06,10.882608695652173,9.022891304347826,8.186928053675363,6.949483008695653,8.22707600094203
2022-03-10,10.766666666666667,14.092604166666666,9.49554687239074,9.607533183333334,9.530946047717592
2022-03-11,11.516666666666667,15.6514375,10.066483704655557,10.36128545,10.137515016902778
2023-04-07,6.645833333333333,5.361208333333334,6.621940783406481,4.391964716666666,6.917307332268519
2023-04-08,7.125,5.798208333333333,6.798411650894446,4.679265016666667,7.070767654138889
2023-04-11,8.159090909090908,3.657409090909091,5.720298042724748,3.7953914,5.861003217434344
2023-04-12,8.533333333333333,4.648979166666667,5.879904546402779,3.962215783333334,6.17194324776389
2023-04-18,10.408333333333333,10.311770833333334,8.95636707101713,8.208714966666665,8.758136009078704
2023-04-19,10.733333333333334,8.669104166666667,8.315597855468056,7.124591633333334,8.206897849986111
2023-04-20,8.320833333333333,4.984104166666667,6.88032652361111,5.1751277333333325,6.757611869347222
2023-04-21,9.704166666666667,7.500020833333333,7.549038601367593,5.803234466666666,7.732801074532407
2023-04-23,8.3125,7.927854166666666,7.724629764884721,5.908600633333332,7.964376544152778
2023-05-01,8.483333333333334,6.329625,6.752865061887038,4.9341163,7.0257910653796305
2023-05-03,6.841666666666667,4.829291666666666,6.456641621562962,4.563987433333333,6.550172929120372
2023-05-04,9.866666666666667,10.184958333333334,8.74228274523241,7.535204566666666,8.805142614175928
2023-05-05,10.645833333333334,11.171145833333334,9.092471271736112,7.8356191666666675,9.255903280763889
2023-05-06,8.825,8.63275,8.029044919285186,6.2919353,8.268384232648149
2023-05-07,7.3374999999999995,4.45925,6.197362833245834,3.9655169500000005,6.462888797250001
2023-05-09,7.441666666666666,6.5750625000000005,7.105238640531018,5.112539150000002,7.370837329106482
2023-05-11,13.354166666666666,19.158166666666666,12.532115714587038,11.661476433333334,12.92102612762963
2023-05-12,11.704166666666667,14.874020833333333,10.770396130398147,9.451959766666668,11.11280886014352
2023-05-15,14.429166666666667,19.73004166666667,12.832515557097686,12.193571633333333,13.125382065148148
2023-05-16,13.025,15.912291666666667,11.189645699292592,10.120029383333332,11.483858502157407
2023-05-27,7.016666666666667,7.6575,7.294338406644445,5.514423550000001,7.6280071832222225
2023-05-28,6.920833333333333,7.5504999999999995,7.366039637427315,5.535031999999999,7.670811479268518
2023-05-30,12.895833333333334,18.957375,12.414672088243517,11.740034449999998,12.718455496231483
2023-06-06,15.470833333333333,19.429166666666667,12.870764626676852,12.268171883333332,13.066444133314816
