sensor_index,DAILY,conc,A_B_Avg,pm2.5_cf_1_a,pm2.5_cf_1_b,humidity_a,temp_Celsius,dewPoint,n
101259,2023-04-22,8.591666666666667,7.880625,7.550291666666666,8.210958333333334,53.130833333333335,28.14761574074074,18.77378240740741,24
101259,2023-04-23,8.3125,7.425416666666667,7.075583333333333,7.77525,48.161375,28.598587962962963,18.230862962962963,24
101259,2023-04-24,8.950000000000001,7.887979166666667,7.659625,8.116333333333333,55.798833333333334,26.812037037037037,17.971803703703706,24
101259,2023-04-25,6.5,5.272583333333333,5.06475,5.480416666666667,56.7825,27.36988425925926,18.72638425925926,24
101259,2023-04-26,6.508333333333334,5.722375,5.5151666666666666,5.929583333333333,54.260875,28.410231481481482,19.26240648148148,24
101259,2023-04-27,7.8875,9.648145833333334,9.358916666666667,9.937375,54.111916666666666,28.752199074074078,19.57458240740741,24
101259,2023-04-28,8.2625,7.2199583333333335,6.883416666666666,7.5565,61.46729166666667,27.15039351851852,19.443851851851853,24
101259,2023-04-29,9.216666666666667,14.9494375,14.606583333333333,15.292291666666667,68.69175,27.138125000000002,20.876475000000003,24
101259,2023-05-01,8.483333333333334,5.3962916666666665,5.3555,5.437083333333334,49.571958333333335,25.69673611111111,15.61112777777778,24
101259,2023-05-02,6.442857142857143,3.538357142857143,3.369952380952381,3.7067619047619047,57.61109523809524,25.28568783068783,16.80790687830688,21
101259,2023-05-03,6.841666666666667,3.9497916666666666,3.7245,4.175083333333333,44.378458333333334,27.240069444444444,16.115761111111112,24
101259,2023-05-04,9.866666666666667,9.962,9.559583333333334,10.364416666666667,42.5805,26.676689814814814,15.192789814814816,24
101259,2023-05-05,10.645833333333334,11.042083333333334,10.544791666666667,11.539375,45.001333333333335,27.33328703703704,16.333553703703707,24
101259,2023-05-06,8.825,8.4335625,8.069749999999999,8.797375,47.965375,28.7925,18.385575000000003,24
101259,2023-05-09,7.441666666666666,6.1258125,5.799,6.452625,48.979166666666664,28.670601851851853,18.466435185185187,24
101259,2023-05-11,13.354166666666666,19.167395833333334,18.963375,19.37141666666667,49.74433333333334,31.036273148148148,20.985139814814815,24
101259,2023-05-12,11.704166666666667,15.049479166666666,14.774041666666667,15.324916666666667,49.476416666666665,31.145069444444445,21.04035277777778,24
101259,2023-05-13,9.3375,9.367770833333333,9.050208333333334,9.685333333333334,54.10554166666667,29.170555555555556,19.99166388888889,24
101259,2023-05-14,11.5375,15.1253125,14.865666666666666,15.384958333333334,55.50833333333333,28.84104166666667,19.942708333333336,24
101259,2023-05-15,14.429166666666667,18.906,18.756791666666665,19.055208333333333,46.44445833333333,30.38337962962963,19.672271296296298,24
101259,2023-05-16,13.025,15.240520833333333,15.140125,15.340916666666667,47.68208333333333,30.158125000000002,19.69454166666667,24
101259,2023-05-17,11.454166666666667,14.8739375,14.714166666666667,15.033708333333333,55.19254166666666,30.005185185185187,21.04369351851852,24
101259,2023-05-18,9.308333333333334,10.781833333333333,10.485458333333334,11.078208333333333,52.73616666666667,29.818680555555556,20.36591388888889,24
101259,2023-05-19,8.883333333333333,9.884708333333334,9.530708333333333,10.238708333333333,51.716625,30.33490740740741,20.67823240740741,24
101259,2023-05-20,8.245833333333334,11.733291666666666,11.438916666666668,12.027666666666667,56.53475,30.00465277777778,21.31160277777778,24
101259,2023-05-21,7.066666666666666,9.2295,8.914791666666666,9.544208333333334,55.587208333333336,30.845347222222223,21.96278888888889,24
101259,2023-05-22,7.591666666666667,10.416104166666667,10.123041666666667,10.709166666666667,53.48645833333333,31.103958333333335,21.801250000000003,24
101259,2023-05-23,6.854166666666667,8.509458333333333,8.24575,8.773166666666667,60.657,28.659675925925928,20.791075925925927,24
101259,2023-05-25,8.029166666666667,9.532208333333333,9.310916666666667,9.7535,67.70566666666667,26.22763888888889,19.768772222222225,24
101259,2023-05-26,7.35,7.026229166666667,6.778708333333333,7.27375,61.12320833333333,26.784722222222225,19.009363888888892,24
101259,2023-05-27,7.016666666666667,6.913854166666667,6.641208333333333,7.1865,50.749875,26.420509259259262,16.57048425925926,24
101259,2023-05-28,6.920833333333333,6.932083333333334,6.6353333333333335,7.228833333333333,49.708333333333336,27.503865740740743,17.44553240740741,24
101259,2023-05-29,7.904347826086957,9.876434782608696,9.586130434782609,10.166739130434783,51.74334782608695,27.548357487922708,17.897027053140096,23
101259,2023-05-30,12.895833333333334,19.024041666666665,18.716124999999998,19.331958333333333,47.42641666666667,29.40736111111111,18.892644444444446,24
101259,2023-05-31,11.65,15.795625,15.536583333333333,16.054666666666666,52.9125,29.105740740740742,19.688240740740742,24
101259,2023-06-01,7.447619047619048,8.319380952380952,8.050571428571429,8.588190476190476,61.920809523809524,28.43915343915344,20.823315343915347,21
101259,2023-06-02,6.6125,6.670083333333333,6.4675,6.8726666666666665,65.62358333333333,27.507685185185185,20.632401851851853,24
101259,2023-06-05,10.7625,11.517083333333334,11.253,11.781166666666667,58.06945833333334,28.40976851851852,20.023660185185186,24
101259,2023-06-06,15.470833333333333,19.122708333333332,18.968666666666667,19.27675,43.88366666666667,30.89060185185185,19.667335185185188,24
101259,2023-06-07,8.321739130434782,7.819500000000001,7.453826086956521,8.185173913043478,53.993826086956524,30.113719806763285,20.91248502415459,23
101259,2023-06-08,5.258333333333333,4.080916666666667,3.7195833333333335,4.44225,55.59733333333333,30.222222222222225,21.34168888888889,24
101259,2023-06-10,11.604545454545454,19.82843181818182,19.570090909090908,20.086772727272727,53.638045454545455,31.34936868686869,22.07697777777778,22
